"order_id";"product_name";"quantity";"unit_price";"customer_id";"order_date";"total_revenue";"month";"year";"day";"email";"phone";"address";"number";"name_customer"
1;"Produto A";3;25;74;"2024-03-01 00:00:00";75;3;2024;1;"diego.souza@email.com";"(11) 4567-8901";"Rua dos Girassóis";654;"Diego Souza"
2;"Produto B";2;30;36;"2024-03-02 00:00:00";60;3;2024;2;"isabela.rodrigues@email.com";"(11) 6789-0123";"Quadra 5";321;"Isabela Rodrigues"
26;"Produto A";4;25;36;"2024-03-26 00:00:00";100;3;2024;26;"isabela.rodrigues@email.com";"(11) 6789-0123";"Quadra 5";321;"Isabela Rodrigues"
3;"Produto C";1;20;12;"2024-03-03 00:00:00";20;3;2024;3;"beatriz.martins@email.com";"(11) 2345-6789";"Avenida dos Lírios";987;"Beatriz Martins"
15;"Produto B";4;30;12;"2024-03-15 00:00:00";120;3;2024;15;"beatriz.martins@email.com";"(11) 2345-6789";"Avenida dos Lírios";987;"Beatriz Martins"
80;"Produto C";4;20;12;"2024-05-19 00:00:00";80;5;2024;19;"beatriz.martins@email.com";"(11) 2345-6789";"Avenida dos Lírios";987;"Beatriz Martins"
4;"Produto A";4;25;92;"2024-03-04 00:00:00";100;3;2024;4;"marcelo.silva@email.com";"(11) 2345-6789";"Avenida dos Narcisos";654;"Marcelo Silva"
5;"Produto D";2;40;55;"2024-03-05 00:00:00";80;3;2024;5;"felipe.gomes@email.com";"(11) 5678-9012";"Alameda dos Crisântemos";987;"Felipe Gomes"
6;"Produto B";3;30;27;"2024-03-06 00:00:00";90;3;2024;6;"eduardo.almeida@email.com";"(11) 7890-1234";"Praça das Tulipas";321;"Eduardo Almeida"
43;"Produto B";1;30;27;"2024-04-12 00:00:00";30;4;2024;12;"eduardo.almeida@email.com";"(11) 7890-1234";"Praça das Tulipas";321;"Eduardo Almeida"
68;"Produto C";1;20;27;"2024-05-07 00:00:00";20;5;2024;7;"eduardo.almeida@email.com";"(11) 7890-1234";"Praça das Tulipas";321;"Eduardo Almeida"
7;"Produto C";2;20;83;"2024-03-07 00:00:00";40;3;2024;7;"patricia.andrade@email.com";"(11) 3456-7890";"Travessa das Tulipas";654;"Patricia Andrade"
22;"Produto A";3;25;83;"2024-03-22 00:00:00";75;3;2024;22;"patricia.andrade@email.com";"(11) 3456-7890";"Travessa das Tulipas";654;"Patricia Andrade"
8;"Produto A";1;25;18;"2024-03-08 00:00:00";25;3;2024;8;"carolina.sousa@email.com";"(11) 8901-2345";"Rua dos Ipês";321;"Carolina Sousa"
9;"Produto D";3;40;42;"2024-03-09 00:00:00";120;3;2024;9;"marcelo.silveira@email.com";"(11) 2345-6789";"Avenida dos Narcisos";321;"Marcelo Silveira"
24;"Produto C";3;20;42;"2024-03-24 00:00:00";60;3;2024;24;"marcelo.silveira@email.com";"(11) 2345-6789";"Avenida dos Narcisos";321;"Marcelo Silveira"
10;"Produto A";2;25;8;"2024-03-10 00:00:00";50;3;2024;10;"andre.campos@email.com";"(11) 8901-2345";"Rua das Palmeiras";987;"André Campos"
46;"Produto A";4;25;8;"2024-04-15 00:00:00";100;4;2024;15;"andre.campos@email.com";"(11) 8901-2345";"Rua das Palmeiras";987;"André Campos"
77;"Produto D";3;40;8;"2024-05-16 00:00:00";120;5;2024;16;"andre.campos@email.com";"(11) 8901-2345";"Rua das Palmeiras";987;"André Campos"
11;"Produto B";1;30;57;"2024-03-11 00:00:00";30;3;2024;11;"alexandre.costa@email.com";"(11) 7890-1234";"Praça das Orquídeas";321;"Alexandre Costa"
90;"Produto A";2;25;57;"2024-05-29 00:00:00";50;5;2024;29;"alexandre.costa@email.com";"(11) 7890-1234";"Praça das Orquídeas";321;"Alexandre Costa"
12;"Produto C";3;20;39;"2024-03-12 00:00:00";60;3;2024;12;"mariana.cavalcanti@email.com";"(11) 9012-3456";"Avenida dos Cravos";321;"Mariana Cavalcanti"
66;"Produto A";4;25;39;"2024-05-05 00:00:00";100;5;2024;5;"mariana.cavalcanti@email.com";"(11) 9012-3456";"Avenida dos Cravos";321;"Mariana Cavalcanti"
92;"Produto C";2;20;39;"2024-05-31 00:00:00";40;5;2024;31;"mariana.cavalcanti@email.com";"(11) 9012-3456";"Avenida dos Cravos";321;"Mariana Cavalcanti"
13;"Produto D";1;40;95;"2024-03-13 00:00:00";40;3;2024;13;"isabella.campos@email.com";"(11) 5678-9012";"Alameda dos Crisântemos";654;"Isabella Campos"
81;"Produto D";2;40;95;"2024-05-20 00:00:00";80;5;2024;20;"isabella.campos@email.com";"(11) 5678-9012";"Alameda dos Crisântemos";654;"Isabella Campos"
14;"Produto A";2;25;64;"2024-03-14 00:00:00";50;3;2024;14;"jorge.moreira@email.com";"(11) 4567-8901";"Rua dos Girassóis";987;"Jorge Moreira"
16;"Produto C";2;20;89;"2024-03-16 00:00:00";40;3;2024;16;"ana.cavalcanti@email.com";"(11) 9012-3456";"Avenida dos Cravos";654;"Ana Cavalcanti"
17;"Produto D";3;40;45;"2024-03-17 00:00:00";120;3;2024;17;"danielle.mendes@email.com";"(11) 5678-9012";"Alameda dos Crisântemos";321;"Danielle Mendes"
70;"Produto A";2;25;45;"2024-05-09 00:00:00";50;5;2024;9;"danielle.mendes@email.com";"(11) 5678-9012";"Alameda dos Crisântemos";321;"Danielle Mendes"
18;"Produto A";1;25;23;"2024-03-18 00:00:00";25;3;2024;18;"jose.mendes@email.com";"(11) 3456-7890";"Travessa dos Lilases";654;"José Mendes"
19;"Produto B";2;30;71;"2024-03-19 00:00:00";60;3;2024;19;"claudia.ferreira@email.com";"(11) 1234-5678";"Rua das Violetas";654;"Claudia Ferreira"
20;"Produto C";4;20;58;"2024-03-20 00:00:00";80;3;2024;20;"patricia.carvalho@email.com";"(11) 8901-2345";"Rua dos Manacás";987;"Patricia Carvalho"
63;"Produto B";1;30;58;"2024-05-02 00:00:00";30;5;2024;2;"patricia.carvalho@email.com";"(11) 8901-2345";"Rua dos Manacás";987;"Patricia Carvalho"
21;"Produto D";2;40;6;"2024-03-21 00:00:00";80;3;2024;21;"juliana.almeida@email.com";"(11) 6789-0123";"Quadra 2";321;"Juliana Almeida"
83;"Produto B";1;30;6;"2024-05-22 00:00:00";30;5;2024;22;"juliana.almeida@email.com";"(11) 6789-0123";"Quadra 2";321;"Juliana Almeida"
95;"Produto B";4;30;6;"2024-06-03 00:00:00";120;6;2024;3;"juliana.almeida@email.com";"(11) 6789-0123";"Quadra 2";321;"Juliana Almeida"
23;"Produto B";1;30;19;"2024-03-23 00:00:00";30;3;2024;23;"leandro.pereira@email.com";"(11) 9012-3456";"Avenida dos Crisântemos";987;"Leandro Pereira"
25;"Produto D";2;40;78;"2024-03-25 00:00:00";80;3;2024;25;"isabel.santos@email.com";"(11) 8901-2345";"Rua dos Manacás";321;"Isabel Santos"
27;"Produto B";2;30;50;"2024-03-27 00:00:00";60;3;2024;27;"vanessa.silva@email.com";"(11) 0123-4567";"Alameda dos Cravos";654;"Vanessa Silva"
